n_eval,audit,W
1000,naive,1.695484172797007
1000,naive,12.356642196871398
1000,naive,3.497337730320399
1000,naive,19.983719949230775
1000,naive,0.4801898788403075
1000,naive,14.188197952085453
1000,naive,0.7723238833053694
1000,naive,10.053836970249954
1000,naive,2.395462040960701
1000,naive,0.47275648963591305
1000,naive,18.78937237464899
1000,naive,5.230309927896417
1000,naive,7.455519914456479
1000,naive,1.235600087227585
1000,naive,4.517283384172809
1000,naive,2.115398844512627
1000,naive,12.155754144171063
1000,naive,10.667224596353947
1000,naive,2.1958309453982134
1000,naive,3.27682853176909
1000,naive,1.5169505203261555
1000,naive,3.815301587697557
1000,naive,7.248334772308862
1000,naive,1.844842497816886
1000,naive,3.986302772631247
1000,naive,8.365239754268215
1000,naive,1.5980216663397395
1000,naive,18.826332022896608
1000,naive,10.758624956906239
1000,naive,16.70763238678936
1000,naive,6.2982946468209535
1000,naive,0.11300649993784748
1000,naive,0.9893765275144161
1000,naive,3.798469319238331
1000,naive,12.726768545998839
1000,naive,10.217588560244256
1000,naive,2.139637900476901
1000,naive,4.91878245709396
1000,naive,11.768245907839693
1000,naive,6.67848598692144
1000,naive,9.295715955279508
1000,naive,32.48358381524819
1000,naive,0.9878675012442156
1000,naive,2.3437013382876963
1000,naive,10.609167928204455
1000,naive,9.660783002667422
1000,naive,1.3150983444123931
1000,naive,0.5991985197415094
1000,naive,12.070126208129142
1000,naive,0.3640834010445124
1000,naive,5.058840834513141
1000,naive,8.946278794298436
1000,naive,18.774086641348745
1000,naive,7.363171219209409
1000,naive,2.5020603807884503
1000,naive,13.54255798519507
1000,naive,9.99481839243742
1000,naive,2.3933881747950254
1000,naive,8.142461951453054
1000,naive,0.3829807555147529
1000,naive,0.7241495053849503
1000,naive,11.435586504537575
1000,naive,19.566428945966766
1000,naive,6.059811762909166
1000,naive,2.3144206779490695
1000,naive,5.2969882510399335
1000,naive,3.8626528934682556
1000,naive,9.952238891492978
1000,naive,8.844180905172756
1000,naive,0.9018188966003027
1000,naive,8.842984047285588
1000,naive,11.572109571503084
1000,naive,20.319424693508164
1000,naive,19.227984213623415
1000,naive,12.77351472593378
1000,naive,4.302840264658703
1000,naive,0.9958832906046999
1000,naive,0.5445761740873065
1000,naive,1.2642412646798544
1000,naive,1.5163363069671159
1000,naive,10.304091456198266
1000,naive,28.906089822695815
1000,naive,9.772132601767806
1000,naive,1.883094580442627
1000,naive,9.431676113961661
1000,naive,2.8354690844722596
1000,naive,39.28248233854602
1000,naive,15.90378534367434
1000,naive,0.308028045427969
1000,naive,1.2350954528887295
1000,naive,4.596608029732559
1000,naive,0.5284149509256655
1000,naive,1.6614421073257202
1000,naive,1.1915899568560842
1000,naive,0.7897223163550288
1000,naive,11.909525697278116
1000,naive,2.2863461100840787
1000,naive,2.6872518793079214
1000,naive,7.603639624869401
1000,naive,13.233760011424577
1000,naive,1.6406657626940913
1000,naive,8.918712831189236
1000,naive,10.481394876580168
1000,naive,4.274080814326788
1000,naive,7.444008315796563
1000,naive,7.1060717735414975
1000,naive,5.1834599043723
1000,naive,2.014748937229642
1000,naive,2.022398003191674
1000,naive,9.659370543898664
1000,naive,1.7600899374157681
1000,naive,2.9085423512213944
1000,naive,0.5275033281012895
1000,naive,6.13466726288872
1000,naive,7.47111667707702
1000,naive,23.967228852205313
1000,naive,9.427335887278224
1000,naive,4.665765339218324
1000,naive,14.335577134802497
1000,naive,2.4912824453950178
1000,naive,4.262083577260813
1000,naive,11.121294150731595
1000,naive,0.8979560867300838
1000,naive,34.624675481301
1000,naive,5.006145669981747
1000,naive,6.453211420290782
1000,naive,1.247981284196136
1000,naive,48.612425471065734
1000,naive,5.756470215613903
1000,naive,4.72063754677076
1000,naive,4.078250162886603
1000,naive,7.741307889702339
1000,naive,7.928829940281535
1000,naive,8.757918439214482
1000,naive,8.661719095399114
1000,naive,14.284419427252459
1000,naive,3.932574554640292
1000,naive,10.921038271083608
1000,naive,22.707220434034188
1000,naive,0.30046165790584534
1000,naive,24.93261559460452
1000,naive,9.320811848941052
1000,naive,0.47369458613125637
1000,naive,18.765139202626113
1000,naive,11.329518573651104
1000,naive,3.374514496188823
1000,naive,8.417588395877722
1000,naive,10.338348147310581
1000,naive,7.171311926608538
1000,naive,3.1286553077434474
1000,naive,4.301756322240093
1000,naive,1.6755138381081343
1000,naive,14.152847123942337
1000,naive,0.9462048289184285
1000,naive,14.595262501106461
1000,naive,0.6548048826074341
1000,naive,10.047656890455253
1000,naive,6.618237442331853
1000,naive,26.753737995842847
1000,naive,3.8793668158507866
1000,naive,18.214400288442118
1000,naive,3.335835833709745
1000,naive,20.096344953456352
1000,naive,1.0252225480798611
1000,naive,7.784147271097009
1000,naive,4.612894374719825
1000,naive,2.98414542908768
1000,naive,10.599076046798693
1000,naive,21.636094361403046
1000,naive,6.1623692174973295
1000,naive,0.5692124186214984
1000,naive,0.8210434899503218
1000,naive,10.202967730376603
1000,naive,4.811732058183584
1000,naive,1.0204105054194943
