cell_kind,calib_policy,eval_policy,alpha,delta,perturbation,n_eval,n_oracle,mc_seed,cvar_truth,cvar_est,cvar_ci_lo,cvar_ci_hi,ci_covers_truth,audit_p,audit_reject,audit_p_xf,audit_reject_xf,t_hat,runtime_sec
size_diagnostic,base,base,0.1,0.0,none,2000,500,20,0.24911746000684898,0.26859784476386206,0.223706469627664,0.30291122103442314,true,0.00938126014290197,true,0.4749540191059879,false,0.39499999999999996,1.6851208209991455
size_diagnostic,base,base,0.1,0.0,none,2000,500,21,0.24911746000684898,0.1873934306105771,0.15876601401550272,0.2354833857149576,false,7.882583474838611e-15,true,0.014742632665842081,true,0.30266666666666664,1.7275800704956055
size_diagnostic,base,base,0.1,0.0,none,2000,500,22,0.24911746000684898,0.25646385593218796,0.21953424241285424,0.2953473493932857,true,0.005664446494202835,true,0.4253366172675931,false,0.35133333333333333,1.7482309341430664
size_diagnostic,base,base,0.1,0.0,none,2000,500,23,0.24911746000684898,0.28851819794737904,0.24639448014218965,0.33003610197665567,true,0.00002473621631871037,true,0.05430178545374975,false,0.4145,1.8350059986114502
size_diagnostic,base,base,0.1,0.0,none,2000,500,8,0.24911746000684898,0.28149329211914054,0.2497032014307103,0.3287797769382816,false,0.013727033756229523,true,0.5298504797665855,false,0.39980000000000004,1.6792492866516113
size_diagnostic,base,base,0.1,0.0,none,2000,500,9,0.24911746000684898,0.2547165669529747,0.22142073852132194,0.29857281466318963,true,0.009985755623784898,true,0.43655264723947873,false,0.3664533333333334,1.6918540000915527
size_diagnostic,base,base,0.1,0.0,none,2000,500,10,0.24911746000684898,0.24791246765303698,0.20505815579128514,0.291349621409765,true,0.05284875792494059,false,0.671244233749172,false,0.37989999999999996,1.8599839210510254
size_diagnostic,base,base,0.1,0.0,none,2000,500,11,0.24911746000684898,0.2377117730168855,0.20521918820567894,0.2714474096451425,true,0.4486923072346939,false,0.8128162704935813,false,0.375,1.7894248962402344
size_diagnostic,base,base,0.1,0.0,none,2000,500,0,0.24911746000684898,0.25787868666005054,0.2112200433183919,0.3055649478868403,true,0.0003510114457344615,true,0.2540447060610974,false,0.40469999999999995,1.7291669845581055
size_diagnostic,base,base,0.1,0.0,none,2000,500,1,0.24911746000684898,0.28318746895298486,0.2522774952866465,0.32032323698858545,false,4.1168884412634554e-8,true,0.019531781202596132,true,0.4491466666666666,1.711724042892456
size_diagnostic,base,base,0.1,0.0,none,2000,500,2,0.24911746000684898,0.246375296457214,0.2085965645753744,0.2829898400631626,true,0.46552007425477826,false,0.8604384147043064,false,0.37970000000000004,1.8391108512878418
size_diagnostic,base,base,0.1,0.0,none,2000,500,3,0.24911746000684898,0.22855605564407677,0.18918945427205314,0.2652793530000806,true,0.46024911872707774,false,0.8856031585816049,false,0.3366600000000001,1.7991149425506592
size_diagnostic,base,base,0.1,0.0,none,2000,500,4,0.24911746000684898,0.26328117785473193,0.2354340271465127,0.3067124276477937,true,0.0014989792803593582,true,0.4155425090253342,false,0.40499999999999997,1.691443920135498
size_diagnostic,base,base,0.1,0.0,none,2000,500,5,0.24911746000684898,0.23617058718713413,0.20188557185185105,0.277145070548848,true,0.30797754383229825,false,0.7462090373588652,false,0.36,1.7349169254302979
size_diagnostic,base,base,0.1,0.0,none,2000,500,6,0.24911746000684898,0.2761422937135478,0.24046627983156452,0.31457632143515174,true,0.00009169237554329523,true,0.14701266252851453,false,0.3817866666666666,1.8832759857177734
size_diagnostic,base,base,0.1,0.0,none,2000,500,7,0.24911746000684898,0.2671118377293671,0.23638331612189767,0.30566970459292403,true,0.060802581030039216,false,0.5631109946561421,false,0.415,1.7831690311431885
size_diagnostic,base,base,0.1,0.0,none,2000,500,16,0.24911746000684898,0.23852874289337114,0.21467049419428907,0.2810057982889713,true,0.04962715118545791,true,0.27519490045053074,false,0.39,1.7161331176757812
size_diagnostic,base,base,0.1,0.0,none,2000,500,17,0.24911746000684898,0.20710308706291,0.16256144450095275,0.24742876522252577,false,0.0001624705966105644,true,0.09261779959240224,false,0.355,1.781231164932251
size_diagnostic,base,base,0.1,0.0,none,2000,500,18,0.24911746000684898,0.253209306183493,0.20349384156924605,0.29477293878931016,true,0.16793097921302946,false,0.8305313619845069,false,0.38989999999999997,1.8299720287322998
size_diagnostic,base,base,0.1,0.0,none,2000,500,19,0.24911746000684898,0.25961391416733737,0.215080261564496,0.295039155480557,true,0.00011994400974080222,true,0.07724081826587859,false,0.40499999999999997,1.8389899730682373
size_diagnostic,base,base,0.1,0.0,none,2000,500,12,0.24911746000684898,0.23496435907968116,0.1942613066522338,0.2667863558339727,true,0.256014539625363,false,0.7033646288051495,false,0.375,1.7280230522155762
size_diagnostic,base,base,0.1,0.0,none,2000,500,13,0.24911746000684898,0.2450408106144277,0.2171530701044245,0.29073518649054947,true,0.39334038455296993,false,0.7955606509258526,false,0.39499999999999996,1.7542028427124023
size_diagnostic,base,base,0.1,0.0,none,2000,500,14,0.24911746000684898,0.2572316508327811,0.21997498665950557,0.29974168679368923,true,0.4770974575711836,false,0.9120347526537572,false,0.385,1.8761110305786133
size_diagnostic,base,base,0.1,0.0,none,2000,500,15,0.24911746000684898,0.2703484009632595,0.22186536453273512,0.32787312151127457,true,1.1179087811008515e-7,true,0.025534757613422054,true,0.46,1.875931739807129
size_diagnostic,base,base,0.1,0.0,none,2000,500,24,0.24911746000684898,0.26059771256629083,0.22881864302701133,0.2985690882435863,true,0.000170345175444786,true,0.1662960745525588,false,0.3511199999999999,1.7367510795593262
size_diagnostic,base,base,0.1,0.0,none,2000,500,25,0.24911746000684898,0.2257910894674485,0.19151039985849658,0.26484280127021026,true,0.029006276131677722,true,0.5321330647468943,false,0.35000000000000003,1.7255148887634277
size_diagnostic,base,base,0.1,0.0,none,2000,500,26,0.24911746000684898,0.25897036447104027,0.21006512380491293,0.3206657636735961,true,0.013095800541522262,true,0.6359870212197017,false,0.40980000000000005,1.7970490455627441
size_diagnostic,base,base,0.1,0.0,none,2000,500,27,0.24911746000684898,0.22477623353984857,0.1926764802789875,0.26670841417290403,true,0.004967298976892187,true,0.1946998436271299,false,0.39469999999999994,1.7464022636413574
