policy,alpha,rep,delta,omega_estimator,n_calib,n_audit,n_eval,estimate,mean_ref,t_hat,truth_cvar,truth_mean,abs_error,alpha1_collapse_err,audit_W,audit_p,audit_g1,audit_g2,audit_decision
uniform,0.1,0,0.0,analytical,244,56,500,0.06775691284763731,0.5091180388954385,0.13333333333333333,0.05000000000000001,0.5,0.0177569128476373,0.0,0.8669724197731773,0.6482452319292544,0.04285714285714286,0.00211622141983421,PASS
uniform,0.1,0,0.0,boot_remax_ridge,244,56,500,0.06775691284763731,0.5091180388954385,0.13333333333333333,0.05000000000000001,0.5,0.0177569128476373,0.0,0.09306140189567373,0.9545352549830463,0.04285714285714286,0.00211622141983421,PASS
uniform,0.1,0,0.0,boot_remax_no_ridge,244,56,500,0.06775691284763731,0.5091180388954385,0.13333333333333333,0.05000000000000001,0.5,0.0177569128476373,0.0,0.9653137754035671,0.6171415359015924,0.04285714285714286,0.00211622141983421,PASS
uniform,0.1,0,0.0,boot_fixed,244,56,500,0.06775691284763731,0.5091180388954385,0.13333333333333333,0.05000000000000001,0.5,0.0177569128476373,0.0,0.8215013830673442,0.6631522404614332,0.04285714285714286,0.00211622141983421,PASS
uniform,0.1,2,0.0,analytical,255,45,500,0.046412176495076736,0.48416385135881995,0.1,0.05000000000000001,0.5,0.0035878235049232737,0.0,2.2261376545407616,0.32854915180586164,0.033333333333333326,0.0039275924626761835,PASS
uniform,0.1,2,0.0,boot_remax_ridge,255,45,500,0.046412176495076736,0.48416385135881995,0.1,0.05000000000000001,0.5,0.0035878235049232737,0.0,0.046235334978844356,0.977147498515451,0.033333333333333326,0.0039275924626761835,PASS
uniform,0.1,2,0.0,boot_remax_no_ridge,255,45,500,0.046412176495076736,0.48416385135881995,0.1,0.05000000000000001,0.5,0.0035878235049232737,0.0,2.114858629029686,0.3473475849979166,0.033333333333333326,0.0039275924626761835,PASS
uniform,0.1,2,0.0,boot_fixed,255,45,500,0.046412176495076736,0.48416385135881995,0.1,0.05000000000000001,0.5,0.0035878235049232737,0.0,1.9381009141093228,0.37944316467869343,0.033333333333333326,0.0039275924626761835,PASS
uniform,0.1,3,0.0,analytical,236,64,500,0.052973281915777944,0.5155237094452643,0.1,0.05000000000000001,0.5,0.002973281915777934,0.0,9.308030889991988,0.009523284825516454,-0.03749999999999999,0.000728041618144227,REFUSE-LEVEL
uniform,0.1,3,0.0,boot_remax_ridge,236,64,500,0.052973281915777944,0.5155237094452643,0.1,0.05000000000000001,0.5,0.002973281915777934,0.0,0.07817946082262808,0.961664414731328,-0.03749999999999999,0.000728041618144227,PASS
