config_id,estimator,variance,ci,policy,n_oracle,rep,v_hat,truth,ci_lo,ci_hi
1,plug_in,if,wald,uniform,50,12,0.5177463949762837,0.5,0.5066669468439148,0.5288258431086527
1,plug_in,if,wald,uniform,50,13,0.4784167257254285,0.5,0.46901603807367154,0.4878174133771854
1,plug_in,if,wald,uniform,50,14,0.4860139684198557,0.5,0.4745565190912919,0.4974714177484196
1,plug_in,if,wald,uniform,50,15,0.47151834518375685,0.5,0.45822861307980034,0.48480807728771336
1,plug_in,if,wald,uniform,50,4,0.5244572039219675,0.5,0.5131771195021949,0.5357372883417401
1,plug_in,if,wald,uniform,50,5,0.47807072446017174,0.5,0.46736617594836316,0.4887752729719803
1,plug_in,if,wald,uniform,50,6,0.4702473467395924,0.5,0.46107071133782906,0.47942398214135573
1,plug_in,if,wald,uniform,50,7,0.5164396655993151,0.5,0.5046521434100976,0.5282271877885326
1,plug_in,if,wald,uniform,50,0,0.48541203074206535,0.5,0.47177243210185604,0.49905162938227465
1,plug_in,if,wald,uniform,50,1,0.49211152069482805,0.5,0.48219423996105193,0.5020288014286042
1,plug_in,if,wald,uniform,50,2,0.49351288319043485,0.5,0.48337329900712084,0.5036524673737489
1,plug_in,if,wald,uniform,50,3,0.4730043360259687,0.5,0.4623155136943078,0.4836931583576296
1,plug_in,if,wald,uniform,50,8,0.5326515167432342,0.5,0.5199404962702299,0.5453625372162385
1,plug_in,if,wald,uniform,50,9,0.44379157751961473,0.5,0.4326829956542303,0.45490015938499917
1,plug_in,if,wald,uniform,50,10,0.5038623503392909,0.5,0.4943303368226464,0.5133943638559355
1,plug_in,if,wald,uniform,50,11,0.47411507625495997,0.5,0.4629635565255593,0.4852665959843606
1,plug_in,if,wald,uniform,50,20,0.502255693747065,0.5,0.4910946038853706,0.5134167836087595
1,plug_in,if,wald,uniform,50,21,0.4804785637630442,0.5,0.468693797909053,0.4922633296170354
1,plug_in,if,wald,uniform,50,22,0.5025399693415507,0.5,0.4916974449834619,0.5133824936996394
1,plug_in,if,wald,uniform,50,23,0.48220973328680183,0.5,0.4708655451492132,0.4935539214243905
1,plug_in,if,wald,uniform,50,16,0.4999127677838196,0.5,0.48733113689927426,0.512494398668365
1,plug_in,if,wald,uniform,50,17,0.49872568944207457,0.5,0.4879593098938471,0.5094920689903021
1,plug_in,if,wald,uniform,50,18,0.5191504537086146,0.5,0.5075127403421065,0.5307881670751227
1,plug_in,if,wald,uniform,50,19,0.5052083839023586,0.5,0.4930234945422862,0.5173932732624309
1,plug_in,if,wald,uniform,50,24,0.4924223348734049,0.5,0.4807564416757592,0.5040882280710506
1,plug_in,if,wald,uniform,50,25,0.47684257352200055,0.5,0.4657104498346314,0.4879746972093697
1,plug_in,if,wald,uniform,50,26,0.4876714292917628,0.5,0.47663723291468085,0.4987056256688448
1,plug_in,if,wald,uniform,50,27,0.47209006757371036,0.5,0.46173464257951113,0.4824454925679096
1,plug_in,if,wald,uniform,50,28,0.5369427538771105,0.5,0.5246573345393201,0.549228173214901
1,plug_in,if,wald,uniform,50,29,0.4676990345540132,0.5,0.45532687777952213,0.48007119132850423
1,plug_in,if,wald,uniform,50,30,0.5124630798220191,0.5,0.500505787712902,0.5244203719311362
1,plug_in,if,wald,uniform,50,31,0.48080827635833534,0.5,0.47125521347078025,0.4903613392458904
1,plug_in,if,wald,uniform,50,32,0.4934926463982649,0.5,0.48157778277186314,0.5054075100246667
1,plug_in,if,wald,uniform,50,33,0.5093513630508248,0.5,0.4981930258213471,0.5205097002803025
1,plug_in,if,wald,uniform,50,34,0.5077332032642505,0.5,0.4963602058793648,0.5191062006491363
1,plug_in,if,wald,uniform,50,35,0.5624184041175058,0.5,0.5518528322654939,0.5729839759695177
1,plug_in,if,wald,uniform,50,40,0.49893595667066154,0.5,0.488369989797454,0.5095019235438691
1,plug_in,if,wald,uniform,50,41,0.5259188762644044,0.5,0.5157304600925748,0.5361072924362339
1,plug_in,if,wald,uniform,50,42,0.5215879124666728,0.5,0.5109936361460594,0.5321821887872862
1,plug_in,if,wald,uniform,50,43,0.49894519997501513,0.5,0.48899084529717984,0.5088995546528504
1,plug_in,if,wald,uniform,50,48,0.5048061899533077,0.5,0.4933580781902124,0.5162543017164031
1,plug_in,if,wald,uniform,50,49,0.5167879716440653,0.5,0.5060712103560834,0.5275047329320472
1,plug_in,if,wald,uniform,50,50,0.5002519915094733,0.5,0.48948175720769993,0.5110222258112467
1,plug_in,if,wald,uniform,50,51,0.4698034471739323,0.5,0.458066773648258,0.4815401206996066
1,plug_in,if,wald,uniform,50,44,0.4736747542367019,0.5,0.4616639258098669,0.4856855826635369
1,plug_in,if,wald,uniform,50,45,0.5082396619132276,0.5,0.49799636253192664,0.5184829612945285
1,plug_in,if,wald,uniform,50,46,0.5168959921736511,0.5,0.5054588872762605,0.5283330970710417
1,plug_in,if,wald,uniform,50,47,0.5081917264823315,0.5,0.49677392825047584,0.5196095247141871
1,plug_in,if,wald,uniform,50,36,0.4849646038054027,0.5,0.4735718724119528,0.49635733519885256
1,plug_in,if,wald,uniform,50,37,0.47005756742910626,0.5,0.45828503108874,0.4818301037694725
1,plug_in,if,wald,uniform,50,38,0.512332121278916,0.5,0.4999176357857792,0.5247466067720529
1,plug_in,if,wald,uniform,50,39,0.5143898731937028,0.5,0.5027400234448985,0.526039722942507
1,plug_in,if,wald,uniform,50,60,0.4846533381461322,0.5,0.4732688256230677,0.4960378506691967
1,plug_in,if,wald,uniform,50,61,0.5006234527949344,0.5,0.48897873579047596,0.5122681697993928
1,plug_in,if,wald,uniform,50,62,0.4668663772673672,0.5,0.45422363694171247,0.4795091175930219
1,plug_in,if,wald,uniform,50,63,0.5122077875400497,0.5,0.499638404886506,0.5247771701935934
1,plug_in,if,wald,uniform,50,52,0.4908979552052961,0.5,0.4794443456062675,0.5023515648043247
1,plug_in,if,wald,uniform,50,53,0.5033246642377216,0.5,0.49474966112915947,0.5118996673462838
1,plug_in,if,wald,uniform,50,54,0.47787798298068646,0.5,0.4671991336671139,0.488556832294259
1,plug_in,if,wald,uniform,50,55,0.4655259201356271,0.5,0.4548825863028059,0.4761692539684483
1,plug_in,if,wald,uniform,50,64,0.47885040196697587,0.5,0.4671436713090278,0.49055713262492395
1,plug_in,if,wald,uniform,50,65,0.5433985206392715,0.5,0.5311784517570334,0.5556185895215097
1,plug_in,if,wald,uniform,50,66,0.48244041970613394,0.5,0.47131405040352575,0.4935667890087421
1,plug_in,if,wald,uniform,50,67,0.5337194629428806,0.5,0.5233732065780496,0.5440657193077116
1,plug_in,if,wald,uniform,50,68,0.5020993479113168,0.5,0.4913655430441956,0.5128331527784381
