estimator,policy,alpha,bias,rmse,var_real,var_calib,truth,R,rmse_ratio,var_calib_ratio
direct_saddle,left_skew,0.05,-0.009903251308616912,0.009989294987952391,3.4232557494163427e-6,0.000010301400557885573,0.3431709999746847,2,1.0,1.0
plugin_quantile,left_skew,0.05,0.10729349902613666,0.11208304115244985,0.002101426361420352,0.002045486743485406,0.3431709999746847,2,11.220315476480355,198.56394594030377
plugin_ru_dual,left_skew,0.05,0.10682418568387098,0.11174709156211413,0.0021520116511387463,0.002092856452307096,0.3431709999746847,2,11.186684515462495,203.16232152578948
direct_saddle,left_skew,0.1,-0.008106246675597756,0.010069188337502297,0.00007135463722090554,0.00002129860919807379,0.4000320738436575,2,1.0,1.0
plugin_quantile,left_skew,0.1,0.08349445291984922,0.09067147881823384,0.0024999868054010176,0.0016468113727097905,0.4000320738436575,2,9.004844857309052,77.32013660585524
plugin_ru_dual,left_skew,0.1,0.08285395572604776,0.08999554969777576,0.0024688419719018904,0.0016134358800630523,0.4000320738436575,2,8.937716395927453,75.75310974807542
direct_saddle,left_skew,0.2,-0.011212507507016106,0.013520309281220185,0.0001141568769299128,0.00002964122424267505,0.4685343113273678,2,1.0,1.0
plugin_quantile,left_skew,0.2,0.07171570433630808,0.07346564574880689,0.000508117713672856,0.00009463337361894581,0.4685343113273678,2,5.433725236659433,3.19262702660912
plugin_ru_dual,left_skew,0.2,0.07145996120251885,0.07319490721477749,0.0005019367742287713,0.00008990378884309532,0.4685343113273678,2,5.413700655239136,3.033065979564335
direct_saddle,right_skew,0.05,0.005235983835761699,0.005782953370358474,0.000012054045910765295,1.470960662691453e-6,0.04097252711860211,2,1.0,1.0
plugin_quantile,right_skew,0.05,0.0875327185646458,0.08754338074687265,3.7333865488523244e-6,8.200863253929455e-7,0.04097252711860211,2,15.138178563844447,0.5575175096065542
plugin_ru_dual,right_skew,0.05,0.08587746401730181,0.08587789115001454,1.4672466155806747e-7,5.093730787419229e-6,0.04097252711860211,2,14.8501787322368,3.4628599639769457
direct_saddle,right_skew,0.1,0.004462377788470449,0.005949122054495613,0.00003095847538450341,6.011110756642282e-6,0.05966354426538299,2,1.0,1.0
plugin_quantile,right_skew,0.1,0.07993161467926477,0.08036021746180802,0.00013740305054924063,9.113960872692088e-6,0.05966354426538299,2,13.50791204579198,1.516185816842778
plugin_ru_dual,right_skew,0.1,0.07926145130256897,0.07973726374841711,0.00015130713499024535,0.000015365088053549044,0.05966354426538299,2,13.403198491811327,2.5561146143531976
direct_saddle,right_skew,0.2,0.0015107832898236043,0.004655261841013033,0.000038777993319163574,6.813312170611663e-6,0.08833469969738249,2,1.0,1.0
plugin_quantile,right_skew,0.2,0.07040123077686841,0.07137691775247348,0.0002766621858909599,0.00008117767687270594,0.08833469969738249,2,15.332524826775616,11.914568838171734
plugin_ru_dual,right_skew,0.2,0.0694435363411578,0.07051986736857488,0.0003012939082313791,0.00009112543934506248,0.08833469969738249,2,15.148421243954997,13.374616788897509
direct_saddle,tail_heavy,0.05,-0.002053632378219312,0.002053632378219312,0.0,1.023677562623669e-7,0.002053632378219312,2,1.0,1.0
plugin_quantile,tail_heavy,0.05,0.04039162336775595,0.04051126561197622,0.0000193588064028775,0.00014830928086383423,0.002053632378219312,2,19.726639510379755,1448.7890159838996
plugin_ru_dual,tail_heavy,0.05,0.03764199375547168,0.03809042098549256,0.00006792095393016678,0.0001356730361912969,0.002053632378219312,2,18.547828418307496,1325.3493203814012
direct_saddle,tail_heavy,0.1,-0.0007374988662769309,0.0008706201773494454,4.2814983089644244e-7,6.851374337638468e-7,0.008184178458267011,2,1.0,1.0
plugin_quantile,tail_heavy,0.1,0.04504041528619543,0.04573390627380546,0.0001259023478165518,0.00013291664032794763,0.008184178458267011,2,52.530262293069974,193.99996814910767
plugin_ru_dual,tail_heavy,0.1,0.044879563020735216,0.045591734087478374,0.0001288620803423872,0.00009868112358338781,0.008184178458267011,2,52.36696239487565,144.03113699579467
direct_saddle,tail_heavy,0.2,0.001775258674735998,0.0017771065823690764,1.3128885748174416e-8,2.0573522691563762e-6,0.03225535810568046,2,1.0,1.0
plugin_quantile,tail_heavy,0.2,0.059291323742140724,0.059291957251994126,1.5024735391591075e-7,0.00001103731071702022,0.03225535810568046,2,33.36432256806538,5.364813251717026
plugin_ru_dual,tail_heavy,0.2,0.05903203688469594,0.05903211914902598,1.9424937396232844e-8,0.000011503389548173873,0.03225535810568046,2,33.21810843237649,5.591356288678202
direct_saddle,uniform,0.05,0.0021074617536323385,0.0026278699862520623,4.9286112432426435e-6,8.523765973195181e-8,0.025000000000000005,2,1.0,1.0
plugin_quantile,uniform,0.05,0.09236991871623793,0.09488039244806536,0.0009401739749089928,0.00024578263527817067,0.025000000000000005,2,36.10543632083803,2883.498163265945
plugin_ru_dual,uniform,0.05,0.09211763056160877,0.09458032558193383,0.0009195602537991352,0.00022435217528161676,0.025000000000000005,2,35.99124997687834,2632.0780742589664
direct_saddle,uniform,0.1,0.00349574991727393,0.007046144578407774,0.00007485577187140916,0.000022291121619032815,0.05000000000000001,2,1.0,1.0
plugin_quantile,uniform,0.1,0.09558165418139586,0.09718503633024607,0.0006181573409186001,0.0001600608173550824,0.05000000000000001,2,13.792654301766698,7.180473916503948
plugin_ru_dual,uniform,0.1,0.09521709326928968,0.09677948389389013,0.0005999473042302592,0.00015759522385154828,0.05000000000000001,2,13.73509765758447,7.06986514832833
direct_saddle,uniform,0.2,0.007296583773410047,0.010581874456262906,0.00011747186449143729,0.000012968034078796663,0.10000000000000002,2,1.0,1.0
plugin_quantile,uniform,0.2,0.08306855213101419,0.08417259176226244,0.00036928170166693707,0.00010682995368763665,0.10000000000000002,2,7.954412246163505,8.237945168752184
plugin_ru_dual,uniform,0.2,0.08292965225698211,0.0840144715007831,0.00036220839618383697,0.00010868552421244198,0.10000000000000002,2,7.939469689234401,8.381033204573995
