config_id,estimator,variance,ci,policy,n_oracle,bias,rmse,coverage,mean_half_width,R
1,plug_in,if,wald,left_skew,50,-0.0005853841157415485,0.01790481548971798,0.26,0.005155971998405939,200
1,plug_in,if,wald,left_skew,100,-0.0013606211509474219,0.01275523564836078,0.32,0.004925359175021072,200
1,plug_in,if,wald,left_skew,250,-0.00048619957101395496,0.008411566098106895,0.415,0.0047231922583992085,200
1,plug_in,if,wald,left_skew,500,0.00025557542733418206,0.006307650077843033,0.555,0.004657167847528031,200
1,plug_in,if,wald,left_skew,1000,-0.00020528549474931322,0.00477464750809949,0.685,0.004597101873817675,200
1,plug_in,if,wald,right_skew,50,0.000033550997544557065,0.018985165394702318,0.25,0.005041031325665902,200
1,plug_in,if,wald,right_skew,100,-0.00013766355147722066,0.013884347017398239,0.215,0.004899583742649585,200
1,plug_in,if,wald,right_skew,250,0.0000835706812513376,0.008248786881616487,0.44,0.004717685837453267,200
1,plug_in,if,wald,right_skew,500,-0.0001306628197648016,0.006637150255654096,0.51,0.0046204177601974995,200
1,plug_in,if,wald,right_skew,1000,-0.00010410098235176108,0.005138482973328917,0.63,0.00457622646094542,200
1,plug_in,if,wald,tail_heavy,50,0.0011789464781448579,0.025951001436589145,0.43,0.014405408551075936,200
1,plug_in,if,wald,tail_heavy,100,-0.00007200174178421559,0.017540338027048866,0.565,0.01422967063544026,200
1,plug_in,if,wald,tail_heavy,250,0.0009567536169150164,0.012379533823901804,0.745,0.014072448383863867,200
1,plug_in,if,wald,tail_heavy,500,0.00027939686948301484,0.009357574488716137,0.885,0.01394384101485919,200
1,plug_in,if,wald,tail_heavy,1000,0.00035189044724368875,0.008732458540614428,0.88,0.013895691258764935,200
1,plug_in,if,wald,uniform,50,0.00039849970297792193,0.024415164539812163,0.365,0.01109367136508288,200
1,plug_in,if,wald,uniform,100,-0.0006522573805638429,0.017362518400955502,0.435,0.010972948721236917,200
1,plug_in,if,wald,uniform,250,-0.00015582835225679188,0.011588605151896542,0.675,0.010795833417872118,200
1,plug_in,if,wald,uniform,500,-0.00033381658238858356,0.009198008447045247,0.785,0.010724731288983514,200
1,plug_in,if,wald,uniform,1000,-0.000895776413525848,0.007854829946353739,0.795,0.010651938148061181,200
2,plug_in,if+jack,wald,left_skew,50,-0.0005853841157415485,0.01790481548971798,0.89,0.03548517584458565,200
2,plug_in,if+jack,wald,left_skew,100,-0.0013606211509474219,0.01275523564836078,0.875,0.023906319742060245,200
2,plug_in,if+jack,wald,left_skew,250,-0.00048619957101395496,0.008411566098106895,0.885,0.016004689798779316,200
2,plug_in,if+jack,wald,left_skew,500,0.00025557542733418206,0.006307650077843033,0.88,0.011421180434292156,200
2,plug_in,if+jack,wald,left_skew,1000,-0.00020528549474931322,0.00477464750809949,0.92,0.008690469152124151,200
2,plug_in,if+jack,wald,right_skew,50,0.000033550997544557065,0.018985165394702318,0.88,0.03681196890003886,200
2,plug_in,if+jack,wald,right_skew,100,-0.00013766355147722066,0.013884347017398239,0.905,0.02579564502268318,200
2,plug_in,if+jack,wald,right_skew,250,0.0000835706812513376,0.008248786881616487,0.865,0.015636112334678945,200
2,plug_in,if+jack,wald,right_skew,500,-0.0001306628197648016,0.006637150255654096,0.875,0.011299056537877123,200
2,plug_in,if+jack,wald,right_skew,1000,-0.00010410098235176108,0.005138482973328917,0.87,0.008710741915672416,200
2,plug_in,if+jack,wald,tail_heavy,50,0.0011789464781448579,0.025951001436589145,0.905,0.05098832327172697,200
2,plug_in,if+jack,wald,tail_heavy,100,-0.00007200174178421559,0.017540338027048866,0.905,0.0351134188914913,200
2,plug_in,if+jack,wald,tail_heavy,250,0.0009567536169150164,0.012379533823901804,0.925,0.024458754923236996,200
