n_oracle,n_audit,policy,rep,omega_estimator,audit_W,audit_p,audit_decision
1500,246,uniform,2,analytical,0.0467138616968172,0.9769137308898599,PASS
1500,246,uniform,2,boot_remax_ridge,0.0013754631132317833,0.9993125048765271,PASS
1500,246,uniform,2,boot_remax_no_ridge,0.043947063774446335,0.9782661275667357,PASS
1500,246,uniform,2,boot_fixed,0.048504597265092375,0.9760394252782881,PASS
1500,254,uniform,0,analytical,3.2839292569032694,0.19359931769440408,PASS
1500,254,uniform,0,boot_remax_ridge,0.198898413230917,0.9053359337768825,PASS
1500,254,uniform,0,boot_remax_no_ridge,2.5209081933167963,0.2835252493950349,PASS
1500,254,uniform,0,boot_fixed,3.2290237244095694,0.19898778019371954,PASS
1500,250,uniform,1,analytical,1.3532657405936703,0.5083257126156728,PASS
1500,250,uniform,1,boot_remax_ridge,0.0931765031156166,0.9544803224775975,PASS
1500,250,uniform,1,boot_remax_no_ridge,1.352336415807433,0.5085619673428733,PASS
1500,250,uniform,1,boot_fixed,1.3586744097767003,0.506952886933951,PASS
1500,238,uniform,3,analytical,1.4881923807373338,0.47516356332949405,PASS
1500,238,uniform,3,boot_remax_ridge,0.0003526793265302312,0.9998236758836594,PASS
1500,238,uniform,3,boot_remax_no_ridge,1.8019385772077516,0.4061757673312819,PASS
1500,238,uniform,3,boot_fixed,1.5038012301039285,0.47146961839429313,PASS
1500,226,uniform,5,analytical,7.492546124678616,0.023605558563333795,REFUSE-LEVEL
1500,226,uniform,5,boot_remax_ridge,0.9509322238525445,0.6215952559684119,PASS
1500,226,uniform,5,boot_remax_no_ridge,9.951064339462741,0.006904843412875117,REFUSE-LEVEL
1500,226,uniform,5,boot_fixed,7.500460481978889,0.02351233173023448,REFUSE-LEVEL
1500,246,uniform,4,analytical,0.27738191625321046,0.8704970069191099,PASS
1500,246,uniform,4,boot_remax_ridge,0.007326904586333344,0.9963432499612244,PASS
1500,246,uniform,4,boot_remax_no_ridge,0.3700652292068437,0.8310771781575288,PASS
1500,246,uniform,4,boot_fixed,0.29534911945066,0.8627118304365624,PASS
1500,233,uniform,7,analytical,0.5901993669700618,0.7444573736615621,PASS
1500,233,uniform,7,boot_remax_ridge,0.054562983426762135,0.9730872869605002,PASS
1500,233,uniform,7,boot_remax_no_ridge,0.9973618774262158,0.6073312387154794,PASS
1500,233,uniform,7,boot_fixed,0.6059040878265807,0.7386345175421153,PASS
1500,273,uniform,6,analytical,0.320385041368186,0.8519797494520204,PASS
1500,273,uniform,6,boot_remax_ridge,0.00033109059685081506,0.9998344684034414,PASS
1500,273,uniform,6,boot_remax_no_ridge,0.29308766615663256,0.8636878734068357,PASS
1500,273,uniform,6,boot_fixed,0.3578637055017803,0.8361628796555458,PASS
1500,251,uniform,8,analytical,2.334563591891457,0.3112117295768988,PASS
1500,251,uniform,8,boot_remax_ridge,0.03146896911385697,0.9843886557495044,PASS
1500,251,uniform,8,boot_remax_no_ridge,1.658383837003496,0.43640179208965035,PASS
1500,251,uniform,8,boot_fixed,2.4306935009482116,0.2966071477914518,PASS
1500,270,uniform,9,analytical,0.9077385791871194,0.6351657505936112,PASS
1500,270,uniform,9,boot_remax_ridge,0.055861252557654735,0.9724558273406442,PASS
1500,270,uniform,9,boot_remax_no_ridge,1.230780330756966,0.540429997095041,PASS
1500,270,uniform,9,boot_fixed,0.9225754535666566,0.630471247834113,PASS
1500,270,uniform,10,analytical,0.3892739629713037,0.8231334164952815,PASS
1500,270,uniform,10,boot_remax_ridge,0.0034741298518318245,0.9982644428981734,PASS
