policy,alpha,rep,delta,omega_estimator,n_calib,n_audit,n_eval,estimate,mean_ref,t_hat,truth_cvar,truth_mean,abs_error,alpha1_collapse_err,audit_W,audit_p,audit_g1,audit_g2,audit_decision
uniform,0.1,0,0.5,boot_remax_no_ridge,496,104,1000,0.03198570720037464,0.42725626698103847,0.08333333333333333,0.05000000000000001,0.5,0.018014292799625367,0.0,0.9276291788921689,0.6288801446742076,0.024999999999999998,0.0006993644348863065,PASS
uniform,0.1,0,0.5,boot_fixed,496,104,1000,0.03198570720037464,0.42725626698103847,0.08333333333333333,0.05000000000000001,0.5,0.018014292799625367,0.0,0.6755264195347338,0.7133641855722871,0.024999999999999998,0.0006993644348863065,PASS
uniform,0.1,1,0.0,analytical,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,16.51900947684497,0.00025878712680982296,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,1,0.0,boot_remax_ridge,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,0.32786498652819024,0.848799319617699,-0.059595959595959584,-0.0026063279579179675,PASS
uniform,0.1,1,0.0,boot_remax_no_ridge,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,7.33849603848237,0.025495634966843483,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,1,0.0,boot_fixed,501,99,1000,0.05718296415630864,0.4985046690396359,0.1,0.05000000000000001,0.5,0.007182964156308633,0.0,16.055489689518275,0.00032628319911698345,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,1,0.3,analytical,501,99,1000,0.05193727171733912,0.45330831013881506,0.08333333333333333,0.05000000000000001,0.5,0.001937271717339109,0.0,85.97743913533876,0.0,-0.08989898989898988,-0.0016497732720035987,REFUSE-LEVEL
uniform,0.1,1,0.3,boot_remax_ridge,501,99,1000,0.05193727171733912,0.45330831013881506,0.08333333333333333,0.05000000000000001,0.5,0.001937271717339109,0.0,0.7448458687522352,0.6890627525626439,-0.08989898989898988,-0.0016497732720035987,PASS
uniform,0.1,1,0.3,boot_remax_no_ridge,501,99,1000,0.05193727171733912,0.45330831013881506,0.08333333333333333,0.05000000000000001,0.5,0.001937271717339109,0.0,10.736908602608748,0.004661330757633642,-0.08989898989898988,-0.0016497732720035987,REFUSE-LEVEL
uniform,0.1,1,0.3,boot_fixed,501,99,1000,0.05193727171733912,0.45330831013881506,0.08333333333333333,0.05000000000000001,0.5,0.001937271717339109,0.0,70.16734466840366,5.551115123125783e-16,-0.08989898989898988,-0.0016497732720035987,REFUSE-LEVEL
uniform,0.1,1,0.1,analytical,501,99,1000,0.058067141732377286,0.4901284567827813,0.1,0.05000000000000001,0.5,0.008067141732377277,0.0,16.51900947684497,0.00025878712680982296,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,1,0.1,boot_remax_ridge,501,99,1000,0.058067141732377286,0.4901284567827813,0.1,0.05000000000000001,0.5,0.008067141732377277,0.0,0.32786498652819024,0.848799319617699,-0.059595959595959584,-0.0026063279579179675,PASS
uniform,0.1,1,0.1,boot_remax_no_ridge,501,99,1000,0.058067141732377286,0.4901284567827813,0.1,0.05000000000000001,0.5,0.008067141732377277,0.0,7.33849603848237,0.025495634966843483,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,1,0.1,boot_fixed,501,99,1000,0.058067141732377286,0.4901284567827813,0.1,0.05000000000000001,0.5,0.008067141732377277,0.0,16.055489689518275,0.00032628319911698345,-0.059595959595959584,-0.0026063279579179675,REFUSE-LEVEL
uniform,0.1,0,1.0,analytical,496,104,1000,0.025695519235152786,0.38631086213759835,0.06666666666666667,0.05000000000000001,0.5,0.024304480764847224,0.0,0.13595352342609396,0.934282184442448,-0.0038461538461538494,0.000158735836224375,PASS
uniform,0.1,0,1.0,boot_remax_ridge,496,104,1000,0.025695519235152786,0.38631086213759835,0.06666666666666667,0.05000000000000001,0.5,0.024304480764847224,0.0,0.0014382787376322323,0.9992811191499257,-0.0038461538461538494,0.000158735836224375,PASS
uniform,0.1,0,1.0,boot_remax_no_ridge,496,104,1000,0.025695519235152786,0.38631086213759835,0.06666666666666667,0.05000000000000001,0.5,0.024304480764847224,0.0,0.10160872851032887,0.9504645971942953,-0.0038461538461538494,0.000158735836224375,PASS
uniform,0.1,0,1.0,boot_fixed,496,104,1000,0.025695519235152786,0.38631086213759835,0.06666666666666667,0.05000000000000001,0.5,0.024304480764847224,0.0,0.1283564176070748,0.9378378536759248,-0.0038461538461538494,0.000158735836224375,PASS
uniform,0.1,1,0.5,analytical,501,99,1000,0.04806990143608199,0.4272722976100075,0.06666666666666667,0.05000000000000001,0.5,0.0019300985639180215,0.0,85.70813254617283,0.0,-0.08989898989898988,-0.0008343418824335461,REFUSE-LEVEL
uniform,0.1,1,0.5,boot_remax_ridge,501,99,1000,0.04806990143608199,0.4272722976100075,0.06666666666666667,0.05000000000000001,0.5,0.0019300985639180215,0.0,0.7446636628895726,0.6891255310588829,-0.08989898989898988,-0.0008343418824335461,PASS
uniform,0.1,1,0.5,boot_remax_no_ridge,501,99,1000,0.04806990143608199,0.4272722976100075,0.06666666666666667,0.05000000000000001,0.5,0.0019300985639180215,0.0,11.462048770216812,0.0032437526791494475,-0.08989898989898988,-0.0008343418824335461,REFUSE-LEVEL
uniform,0.1,1,0.5,boot_fixed,501,99,1000,0.04806990143608199,0.4272722976100075,0.06666666666666667,0.05000000000000001,0.5,0.0019300985639180215,0.0,70.10151385977485,5.551115123125783e-16,-0.08989898989898988,-0.0008343418824335461,REFUSE-LEVEL
uniform,0.1,2,0.0,analytical,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.08468840908323544,0.9585397900345705,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.0,boot_remax_ridge,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.003567062454294404,0.9982180583195294,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.0,boot_remax_no_ridge,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.14740886671156547,0.9289462187856252,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.0,boot_fixed,506,94,1000,0.05415538282993297,0.5021958813977232,0.1,0.05000000000000001,0.5,0.004155382829932962,0.0,0.08749922576731563,0.9571935964149304,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,1,1.0,analytical,501,99,1000,0.0440634547393739,0.381181750065904,0.06666666666666667,0.05000000000000001,0.5,0.005936545260626112,0.0,85.70813254617283,0.0,-0.08989898989898988,-0.0008343418824335461,REFUSE-LEVEL
uniform,0.1,1,1.0,boot_remax_ridge,501,99,1000,0.0440634547393739,0.381181750065904,0.06666666666666667,0.05000000000000001,0.5,0.005936545260626112,0.0,0.7446636628895726,0.6891255310588829,-0.08989898989898988,-0.0008343418824335461,PASS
uniform,0.1,1,1.0,boot_remax_no_ridge,501,99,1000,0.0440634547393739,0.381181750065904,0.06666666666666667,0.05000000000000001,0.5,0.005936545260626112,0.0,11.462048770216812,0.0032437526791494475,-0.08989898989898988,-0.0008343418824335461,REFUSE-LEVEL
uniform,0.1,1,1.0,boot_fixed,501,99,1000,0.0440634547393739,0.381181750065904,0.06666666666666667,0.05000000000000001,0.5,0.005936545260626112,0.0,70.10151385977485,5.551115123125783e-16,-0.08989898989898988,-0.0008343418824335461,REFUSE-LEVEL
uniform,0.1,2,0.1,analytical,506,94,1000,0.05263769044026483,0.49789475709279013,0.1,0.05000000000000001,0.5,0.0026376904402648227,0.0,0.08468840908323544,0.9585397900345705,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.1,boot_remax_ridge,506,94,1000,0.05263769044026483,0.49789475709279013,0.1,0.05000000000000001,0.5,0.0026376904402648227,0.0,0.003567062454294404,0.9982180583195294,0.006382978723404256,-5.742353580182601e-6,PASS
uniform,0.1,2,0.1,boot_remax_no_ridge,506,94,1000,0.05263769044026483,0.49789475709279013,0.1,0.05000000000000001,0.5,0.0026376904402648227,0.0,0.14740886671156547,0.9289462187856252,0.006382978723404256,-5.742353580182601e-6,PASS
