policy,alpha,rep,delta,omega_estimator,n_calib,n_audit,n_eval,estimate,mean_ref,t_hat,truth_cvar,truth_mean,abs_error,alpha1_collapse_err,audit_W,audit_p,audit_g1,audit_g2,audit_decision
uniform,0.1,6,0.0,boot_fixed,488,112,1000,0.034483930920451274,0.4810115390832508,0.08333333333333333,0.05000000000000001,0.5,0.015516069079548736,0.0,1.4843267677033019,0.4760828506774496,-0.02857142857142858,-0.0005101806834769457,PASS
uniform,0.1,5,0.0,analytical,515,85,1000,0.04794793964506097,0.49291748853638256,0.1,0.05000000000000001,0.5,0.002052060354939038,0.0,0.2520509909564271,0.8815923698778281,0.017647058823529408,0.0007544594782718138,PASS
uniform,0.1,5,0.0,boot_remax_ridge,515,85,1000,0.04794793964506097,0.49291748853638256,0.1,0.05000000000000001,0.5,0.002052060354939038,0.0,0.024535851446015843,0.9878070184946766,0.017647058823529408,0.0007544594782718138,PASS
uniform,0.1,5,0.0,boot_remax_no_ridge,515,85,1000,0.04794793964506097,0.49291748853638256,0.1,0.05000000000000001,0.5,0.002052060354939038,0.0,0.33338347813581115,0.8464605018272239,0.017647058823529408,0.0007544594782718138,PASS
uniform,0.1,5,0.0,boot_fixed,515,85,1000,0.04794793964506097,0.49291748853638256,0.1,0.05000000000000001,0.5,0.002052060354939038,0.0,0.2745355851457788,0.8717367502447202,0.017647058823529408,0.0007544594782718138,PASS
uniform,0.1,7,0.0,analytical,505,95,1000,0.052898526236220274,0.5066423461636866,0.1,0.05000000000000001,0.5,0.002898526236220264,0.0,0.5135530324321774,0.7735410683345951,0.015789473684210523,0.0012910746319639399,PASS
uniform,0.1,7,0.0,boot_remax_ridge,505,95,1000,0.052898526236220274,0.5066423461636866,0.1,0.05000000000000001,0.5,0.002898526236220264,0.0,0.021571197984661995,0.9892723570298668,0.015789473684210523,0.0012910746319639399,PASS
uniform,0.1,7,0.0,boot_remax_no_ridge,505,95,1000,0.052898526236220274,0.5066423461636866,0.1,0.05000000000000001,0.5,0.002898526236220264,0.0,0.36986562241153326,0.8311601266228231,0.015789473684210523,0.0012910746319639399,PASS
uniform,0.1,7,0.0,boot_fixed,505,95,1000,0.052898526236220274,0.5066423461636866,0.1,0.05000000000000001,0.5,0.002898526236220264,0.0,0.5462433643256811,0.7610001818467635,0.015789473684210523,0.0012910746319639399,PASS
uniform,0.1,8,0.0,analytical,508,92,1000,0.04573354309230716,0.49121143899102665,0.1,0.05000000000000001,0.5,0.004266456907692846,0.0,7.683116750936891,0.021460132329444992,-0.013043478260869563,-0.003210868265298156,REFUSE-LEVEL
uniform,0.1,8,0.0,boot_remax_ridge,508,92,1000,0.04573354309230716,0.49121143899102665,0.1,0.05000000000000001,0.5,0.004266456907692846,0.0,0.015527499986844348,0.9922663100703137,-0.013043478260869563,-0.003210868265298156,PASS
uniform,0.1,8,0.0,boot_remax_no_ridge,508,92,1000,0.04573354309230716,0.49121143899102665,0.1,0.05000000000000001,0.5,0.004266456907692846,0.0,14.869347568475717,0.0005904215502531285,-0.013043478260869563,-0.003210868265298156,REFUSE-LEVEL
uniform,0.1,8,0.0,boot_fixed,508,92,1000,0.04573354309230716,0.49121143899102665,0.1,0.05000000000000001,0.5,0.004266456907692846,0.0,7.623696184661631,0.022107284877022404,-0.013043478260869563,-0.003210868265298156,REFUSE-LEVEL
uniform,0.1,9,0.0,analytical,483,117,1000,0.06146352807638715,0.5024520071050953,0.11666666666666667,0.05000000000000001,0.5,0.01146352807638714,0.0,3.249979471701547,0.19691369634538547,0.028205128205128195,0.003549649662039593,PASS
