config_id,estimator,variance,ci,policy,n_oracle,bias,rmse,coverage,mean_half_width,R
1,plug_in,if,wald,left_skew,100,-0.013095743359954115,0.016216783734601583,0.6666666666666666,0.014364964296090724,3
1,plug_in,if,wald,right_skew,100,-0.010110414343953933,0.01758774654663419,0.6666666666666666,0.01346154897303412,3
1,plug_in,if,wald,tail_heavy,100,0.0014040317240106015,0.02609463758221731,1.0,0.04468016980468526,3
1,plug_in,if,wald,uniform,100,-0.006263533233886694,0.0338313235978882,0.3333333333333333,0.03375382315334783,3
2,plug_in,if+jack,wald,left_skew,100,-0.013095743359954115,0.016216783734601583,0.6666666666666666,0.022468075473640565,3
2,plug_in,if+jack,wald,right_skew,100,-0.010110414343953933,0.01758774654663419,0.6666666666666666,0.0369093588301047,3
2,plug_in,if+jack,wald,tail_heavy,100,0.0014040317240106015,0.02609463758221731,1.0,0.05597145716627747,3
2,plug_in,if+jack,wald,uniform,100,-0.006263533233886694,0.0338313235978882,1.0,0.053003643586829276,3
3,aipw,if,wald,left_skew,100,-0.012350215998802075,0.014358265600138156,0.6666666666666666,0.014364964296090724,3
3,aipw,if,wald,right_skew,100,-0.009379176035015016,0.016935867671234405,0.6666666666666666,0.01346154897303412,3
3,aipw,if,wald,tail_heavy,100,0.002195007337579861,0.028048582445099002,1.0,0.04468016980468526,3
3,aipw,if,wald,uniform,100,-0.006302117782071293,0.033066569819237404,0.3333333333333333,0.03375382315334782,3
4,aipw,if+jack,wald,left_skew,100,-0.012350215998802075,0.014358265600138156,1.0,0.022468075473640565,3
4,aipw,if+jack,wald,right_skew,100,-0.009379176035015016,0.016935867671234405,0.6666666666666666,0.0369093588301047,3
4,aipw,if+jack,wald,tail_heavy,100,0.002195007337579861,0.028048582445099002,1.0,0.05597145716627747,3
4,aipw,if+jack,wald,uniform,100,-0.006302117782071293,0.033066569819237404,1.0,0.0530036435868293,3
5,plug_in,boot,bootstrap,left_skew,100,-0.0164543680740713,0.019342531365458993,0.5,0.023298200624123994,2
5,plug_in,boot,bootstrap,right_skew,100,-0.01908489712622899,0.02081518196567134,1.0,0.02437215003609052,2
5,plug_in,boot,bootstrap,tail_heavy,100,0.0003059891600790676,0.031857726616118257,0.0,0.02460494709659125,2
5,plug_in,boot,bootstrap,uniform,100,-0.02842889800881704,0.031500507406994074,0.5,0.028177216580391642,2
6,aipw,boot,bootstrap,left_skew,100,-0.014058281604160061,0.016411299493513925,0.5,0.02421100218736763,2
6,aipw,boot,bootstrap,right_skew,100,-0.016850051606888516,0.020365762930619653,1.0,0.024485528873720443,2
6,aipw,boot,bootstrap,tail_heavy,100,0.0007984189274854447,0.03417079857383152,0.0,0.025397192983285355,2
6,aipw,boot,bootstrap,uniform,100,-0.027766416107399577,0.03113434730743991,0.5,0.029598458958607896,2
