config_id,estimator,variance,ci,policy,n_oracle,rep,v_hat,truth,ci_lo,ci_hi
1,plug_in,if,wald,uniform,100,0,0.45800350364429904,0.5,0.42321041653690067,0.4927965907516974
1,plug_in,if,wald,uniform,100,1,0.4851387003380669,0.5,0.45181490939050806,0.5184624912856257
1,plug_in,if,wald,uniform,100,2,0.538067196315974,0.5,0.5049226049108877,0.5712117877210603
1,plug_in,if,wald,right_skew,100,0,0.27493832967253107,0.2857142857142857,0.26369967793666066,0.2861769814084015
1,plug_in,if,wald,right_skew,100,1,0.25832044750358235,0.2857142857142857,0.24472612442041478,0.27191477058674995
1,plug_in,if,wald,right_skew,100,2,0.2935528369348819,0.2857142857142857,0.2780011648348175,0.30910450903494624
1,plug_in,if,wald,left_skew,100,0,0.687663392095561,0.7142857142857143,0.6746947129962189,0.7006320711949032
1,plug_in,if,wald,left_skew,100,1,0.707999300327725,0.7142857142857143,0.6966613227283661,0.7193372779270838
1,plug_in,if,wald,left_skew,100,2,0.7079072203539946,0.7142857142857143,0.6891189841644234,0.7266954565435657
1,plug_in,if,wald,tail_heavy,100,0,0.4684497320701251,0.5,0.4230542106176813,0.5138452535225688
1,plug_in,if,wald,tail_heavy,100,1,0.532162246250033,0.5,0.4882902756368111,0.5760342168632551
1,plug_in,if,wald,tail_heavy,100,2,0.5036001168518737,0.5,0.4588270995034836,0.5483731342002637
2,plug_in,if+jack,wald,uniform,100,0,0.45800350364429904,0.5,0.40004322262598924,0.5159637846626088
2,plug_in,if+jack,wald,uniform,100,1,0.4851387003380669,0.5,0.4304926565832142,0.5397847440929195
2,plug_in,if+jack,wald,uniform,100,2,0.538067196315974,0.5,0.4916625903286486,0.5844718023032993
2,plug_in,if+jack,wald,right_skew,100,0,0.27493832967253107,0.2857142857142857,0.23961096586206487,0.31026569348299726
2,plug_in,if+jack,wald,right_skew,100,1,0.25832044750358235,0.2857142857142857,0.23279777323677728,0.2838431217703874
2,plug_in,if+jack,wald,right_skew,100,2,0.2935528369348819,0.2857142857142857,0.24367479852183904,0.3434308753479247
2,plug_in,if+jack,wald,left_skew,100,0,0.687663392095561,0.7142857142857143,0.6644200568129413,0.7109067273781808
2,plug_in,if+jack,wald,left_skew,100,1,0.707999300327725,0.7142857142857143,0.6888331960689372,0.7271654045865127
2,plug_in,if+jack,wald,left_skew,100,2,0.7079072203539946,0.7142857142857143,0.6829124334744804,0.7329020072335087
2,plug_in,if+jack,wald,tail_heavy,100,0,0.4684497320701251,0.5,0.40906103260832155,0.5278384315319287
2,plug_in,if+jack,wald,tail_heavy,100,1,0.532162246250033,0.5,0.473568336675564,0.5907561558245021
2,plug_in,if+jack,wald,tail_heavy,100,2,0.5036001168518737,0.5,0.4536683543893139,0.5535318793144335
3,aipw,if,wald,uniform,100,0,0.4581490633536885,0.5,0.4233559762462901,0.49294215046108686
