estimator,policy,alpha,rep,est_real,est_calib_only,truth
direct_saddle,uniform,0.05,2,0.02277932677385223,0.019817858143899827,0.025000000000000005
direct_saddle,uniform,0.1,2,0.04897906545273218,0.043801587676822615,0.05000000000000001
direct_saddle,uniform,0.2,2,0.10119582637375829,0.09413528132505396,0.10000000000000002
plugin_quantile,uniform,0.05,2,0.12676792637024334,0.1268424916202861,0.025000000000000005
plugin_quantile,uniform,0.1,2,0.14499593655484033,0.13706643494476844,0.05000000000000001
plugin_quantile,uniform,0.2,2,0.17735535734295102,0.16601357786053408,0.10000000000000002
plugin_ru_dual,uniform,0.05,2,0.12527707587725476,0.12447068401780426,0.025000000000000005
plugin_ru_dual,uniform,0.1,2,0.14250692927881375,0.13582193130675518,0.05000000000000001
plugin_ru_dual,uniform,0.2,2,0.17668332859067304,0.165935004077598,0.10000000000000002
direct_saddle,uniform,0.05,3,0.016194235411292914,0.015154630390356982,0.025000000000000005
direct_saddle,uniform,0.1,3,0.044814860688967645,0.04109089035373014,0.05000000000000001
direct_saddle,uniform,0.2,3,0.09609513138124536,0.08965682572321114,0.10000000000000002
plugin_quantile,uniform,0.05,3,0.08152018608543932,0.07841749931621894,0.025000000000000005
plugin_quantile,uniform,0.1,3,0.1194846020930427,0.11772817936411066,0.05000000000000001
plugin_quantile,uniform,0.2,3,0.1523575825656287,0.15029972728955834,0.10000000000000002
plugin_ru_dual,uniform,0.05,3,0.08067552295599907,0.0778543905632588,0.025000000000000005
plugin_ru_dual,uniform,0.1,3,0.11948460209304271,0.11700104746749146,0.05000000000000001
plugin_ru_dual,uniform,0.2,3,0.15140896771318801,0.14943648777383733,0.10000000000000002
direct_saddle,uniform,0.05,0,0.025537651057522356,0.02410517727033433,0.025000000000000005
direct_saddle,uniform,0.1,0,0.04737791648249455,0.045421626496505954,0.05000000000000001
direct_saddle,uniform,0.2,0,0.09963264664907778,0.09495116631840918,0.10000000000000002
plugin_quantile,uniform,0.05,0,0.09568842920434101,0.09595613994413238,0.025000000000000005
plugin_quantile,uniform,0.1,0,0.12800102078952685,0.12782374113523287,0.05000000000000001
plugin_quantile,uniform,0.2,0,0.1694802906221431,0.16808799466189278,0.10000000000000002
plugin_ru_dual,uniform,0.05,0,0.09567514640282793,0.09593488746171146,0.025000000000000005
plugin_ru_dual,uniform,0.1,0,0.1278973458082229,0.12773043365205933,0.05000000000000001
plugin_ru_dual,uniform,0.2,0,0.16947215627548845,0.1679262237443384,0.10000000000000002
direct_saddle,uniform,0.05,1,0.02867727244974233,0.02451806384006493,0.025000000000000005
direct_saddle,uniform,0.1,1,0.05961358335205333,0.05209862007431219,0.05000000000000001
direct_saddle,uniform,0.2,1,0.11496052089774235,0.10004391294057617,0.10000000000000002
plugin_quantile,uniform,0.05,1,0.13905140822813486,0.11812741123281452,0.025000000000000005
plugin_quantile,uniform,0.1,1,0.1631622875732649,0.14571568442572438,0.05000000000000001
plugin_quantile,uniform,0.2,1,0.19665681363988533,0.18270510475162233,0.10000000000000002
plugin_ru_dual,uniform,0.05,1,0.13856011472038962,0.11711753013356035,0.025000000000000005
plugin_ru_dual,uniform,0.1,1,0.16253684073035649,0.14548403744686947,0.05000000000000001
plugin_ru_dual,uniform,0.2,1,0.1963871482384758,0.18266973243205872,0.10000000000000002
direct_saddle,uniform,0.05,4,0.034142278590176656,0.033473144362386034,0.025000000000000005
direct_saddle,uniform,0.1,4,0.05296870616223878,0.05243162334330998,0.05000000000000001
direct_saddle,uniform,0.2,4,0.09988061597516353,0.09842304744169364,0.10000000000000002
plugin_quantile,uniform,0.05,4,0.07397328829224327,0.0730779448859359,0.025000000000000005
plugin_quantile,uniform,0.1,4,0.11110855147645299,0.11231278839306132,0.05000000000000001
plugin_quantile,uniform,0.2,4,0.17022085728815917,0.1693266132146614,0.10000000000000002
plugin_ru_dual,uniform,0.05,4,0.07302493550336803,0.07297342755073492,0.025000000000000005
plugin_ru_dual,uniform,0.1,4,0.11070637819551792,0.11200342433080356,0.05000000000000001
plugin_ru_dual,uniform,0.2,4,0.16992552886503465,0.16882689501157302,0.10000000000000002
direct_saddle,uniform,0.05,6,0.020525532863419328,0.020530244086653136,0.025000000000000005
direct_saddle,uniform,0.1,6,0.037650232268919066,0.03825825266488212,0.05000000000000001
direct_saddle,uniform,0.2,6,0.0821287397889362,0.08241995963397845,0.10000000000000002
plugin_quantile,uniform,0.05,6,0.07490412964501401,0.07091016344515422,0.025000000000000005
plugin_quantile,uniform,0.1,6,0.09005803534355453,0.0889946230244353,0.05000000000000001
plugin_quantile,uniform,0.2,6,0.13583046961948755,0.13457635274817675,0.10000000000000002
plugin_ru_dual,uniform,0.05,6,0.0711179916196266,0.06708307969036423,0.025000000000000005
plugin_ru_dual,uniform,0.1,6,0.08974951188126748,0.08837757609986119,0.05000000000000001
plugin_ru_dual,uniform,0.2,6,0.13550707974649778,0.13456080495280023,0.10000000000000002
direct_saddle,uniform,0.05,7,0.020516938783862747,0.017677387817920324,0.025000000000000005
