estimator,policy,alpha,bias,rmse,var_real,var_calib,truth,R,rmse_ratio,var_calib_ratio
plugin_ru_dual,right_skew,0.2,0.0708509297965064,0.07128822000629663,0.00006542743014386407,0.00004495564796973907,0.08833469969738249,20,12.016676560358944,1.5781860522550275
direct_saddle,tail_heavy,0.05,-0.001647579799159796,0.0018477940906295057,7.366566387009347e-7,7.017906282742538e-7,0.002053632378219312,20,1.0,1.0
plugin_quantile,tail_heavy,0.05,0.04939106571019794,0.05121732978135492,0.00019340789257155265,0.00018612698932156152,0.002053632378219312,20,27.718093721095418,265.21726256057195
plugin_ru_dual,tail_heavy,0.05,0.04775150746856344,0.04960694281182066,0.00019014979959471168,0.00017370868883515077,0.002053632378219312,20,26.846575093721935,247.52209823934396
direct_saddle,tail_heavy,0.1,0.0003202986514976045,0.0020963053691716712,4.517794710175571e-6,3.241322473936676e-6,0.008184178458267011,20,1.0,1.0
plugin_quantile,tail_heavy,0.1,0.057836797504374135,0.05937375651256306,0.00018962928089594327,0.00016555653522219997,0.008184178458267011,20,28.323047484262208,51.076847969750744
plugin_ru_dual,tail_heavy,0.1,0.057220159275298076,0.058784856624042155,0.0001910660429670647,0.00016316657489645609,0.008184178458267011,20,28.042124725020503,50.33950685514044
direct_saddle,tail_heavy,0.2,0.001201815847206365,0.005359736816226543,0.00002871833411433463,0.000015499608310302682,0.03225535810568046,20,1.0,1.0
plugin_quantile,tail_heavy,0.2,0.06021712116157073,0.06111693535742417,0.00011492432262765788,0.00010340770358541169,0.03225535810568046,20,11.40297321547456,6.671633341642316
plugin_ru_dual,tail_heavy,0.2,0.05982233465262441,0.06072588339817784,0.00011465388547210866,0.00010338657787535312,0.03225535810568046,20,11.330012177898531,6.670270358163274
direct_saddle,uniform,0.05,-0.0011022359008516127,0.006696087354686939,0.00004591859145312859,0.00004148648073750952,0.025000000000000005,20,1.0,1.0
plugin_quantile,uniform,0.05,0.06907157895739911,0.07204525649446131,0.000441722067036314,0.00041810455251404475,0.025000000000000005,20,10.759306543997383,10.078091587460692
plugin_ru_dual,uniform,0.05,0.06790427519785754,0.07095054365579234,0.00044525163674328925,0.0004225447596685165,0.025000000000000005,20,10.595821096349702,10.18511939689494
direct_saddle,uniform,0.1,-0.00045247886736444093,0.007443162699345904,0.0000581009829931819,0.00004111480672308801,0.05000000000000001,20,1.0,1.0
plugin_quantile,uniform,0.1,0.07472552349185248,0.07643236347979136,0.0002715813957637347,0.0002398601846076218,0.05000000000000001,20,10.268801928313101,5.833912493450404
plugin_ru_dual,uniform,0.1,0.07408292392218344,0.07575687666988734,0.00026402604833316077,0.00023851118822397222,0.05000000000000001,20,10.178049268833632,5.801102017342972
direct_saddle,uniform,0.2,0.0008365655375105502,0.009058050697448031,0.00008562993740946153,0.00004510435785469079,0.10000000000000002,20,1.0,1.0
plugin_quantile,uniform,0.2,0.06933196993775213,0.07070897370477322,0.00020298621782415202,0.00016738152869749892,0.10000000000000002,20,7.806202025861304,3.7109835204114643
plugin_ru_dual,uniform,0.2,0.06877336435566715,0.07013306715866055,0.00019881206766720312,0.00016209051991867792,0.10000000000000002,20,7.7426225024794215,3.5936775874489193
