policy,a,b,scale,sigma,alpha,truth_mean,truth_cvar,cutoff
uniform,1.0,1.0,4.0,0.8,0.1,0.5,0.05000000000000001,0.1
right_skew,2.0,5.0,4.0,0.8,0.1,0.2857142857142857,0.05966354426538299,0.09259525891312873
left_skew,5.0,2.0,4.0,0.8,0.1,0.7142857142857143,0.4000320738436575,0.4896836934485084
tail_heavy,0.5,0.5,4.0,0.8,0.1,0.5,0.008184178458267011,0.024471741852423214
