n_eval,audit,W
1000,naive,0.9893765275144161
1000,naive,3.798469319238331
1000,naive,12.726768545998839
1000,naive,2.2959821820414317
1000,naive,1.7916686314480788
1000,naive,4.91878245709396
1000,naive,3.303041475436144
1000,naive,6.67848598692144
1000,naive,12.070126208129142
1000,naive,0.3640834010445124
1000,naive,5.446553110521031
1000,naive,8.946278794298436
1000,naive,14.56006766703942
1000,naive,7.363171219209409
1000,naive,4.627271016066871
1000,naive,2.870921974160257
1000,naive,3.986302772631247
1000,naive,14.970731893516204
1000,naive,1.5980216663397395
1000,naive,4.818421867160859
1000,naive,10.758624956906239
1000,naive,16.70763238678936
1000,naive,3.567875465865936
1000,naive,0.11300649993784748
1000,naive,6.354612347941467
1000,naive,3.929364198932997
1000,naive,4.5548741122238745
1000,naive,3.27682853176909
1000,naive,3.9461961897832722
1000,naive,4.61585465373313
1000,naive,0.0024842754043349516
1000,naive,1.844842497816886
1000,naive,10.965597537500264
1000,naive,0.47275648963591305
1000,naive,6.3903015229738145
1000,naive,2.2518408715479814
1000,naive,7.455519914456479
1000,naive,9.84375539908428
1000,naive,4.517283384172809
1000,naive,2.115398844512627
1000,naive,9.295715955279508
1000,naive,26.003198954612763
1000,naive,0.8611734089609975
1000,naive,0.9796530575869513
1000,naive,8.882232559856302
1000,naive,9.660783002667422
1000,naive,1.3150983444123931
1000,naive,0.5991985197415094
1000,naive,2.0740828192602727
1000,naive,5.554200909959872
1000,naive,2.4759915852450636
1000,naive,10.90140131935752
1000,naive,0.4801898788403075
1000,naive,16.606998681751268
1000,naive,0.7723238833053694
1000,naive,7.039550686309887
1000,naive,3.4399524870566545
1000,naive,3.3684885005541316
1000,naive,8.142461951453054
1000,naive,7.9412989455220035
1000,naive,0.7241495053849503
1000,naive,11.435586504537575
1000,naive,19.566428945966766
1000,naive,3.0545467314645935
1000,naive,5.3645865874683825
1000,naive,5.2969882510399335
1000,naive,3.8626528934682556
1000,naive,9.952238891492978
1000,naive,8.844180905172756
1000,naive,0.9018188966003027
1000,naive,8.27020899968799
1000,naive,9.990715630863855
1000,naive,12.930337470622893
