policy,seed,oracle_coverage,n_oracle,n_eval,alpha,mean,mean_se,mean_ci_lo,mean_ci_hi,oracle_truth,cvar,cvar_ci_lo,cvar_ci_hi,cvar_t_hat,cvar_empirical_truth,audit_p_value,audit_reject,n_bootstrap_failures
premium,2,0.25,1247,5000,0.2,0.7587768560309114,0.0032051486642580914,0.7498779367106008,0.767675775351222,0.76226,0.34949882720183567,0.32309481331358597,0.38001117913991794,0.5780000000000001,0.39660808435852374,0.3880142803737594,false,0
parallel_universe_prompt,2,0.25,1247,5000,0.01,0.7656459538798291,0.0032372174474931364,0.7566579973432759,0.7746339104163824,0.770834,0.07186577378425144,0.04804150778579283,0.09486843558312838,0.10933333333333328,0.07903846153846153,0.7946455090282192,false,0
parallel_universe_prompt,2,0.25,1247,5000,0.05,0.7656459538798291,0.0032372174474931364,0.7566579973432759,0.7746339104163824,0.770834,0.1586641082814718,0.13582852334213513,0.18677003102742135,0.26049999999999995,0.17513944223107572,0.18049447037942934,false,0
parallel_universe_prompt,2,0.25,1247,5000,0.1,0.7656459538798291,0.0032372174474931364,0.7566579973432759,0.7746339104163824,0.770834,0.23648116121865703,0.21454132124430883,0.26140202234224297,0.35117333333333334,0.26734463276836157,0.06710945420786174,false,0
parallel_universe_prompt,2,0.25,1247,5000,0.2,0.7656459538798291,0.0032372174474931364,0.7566579973432759,0.7746339104163824,0.770834,0.35635404350619637,0.32783732974256097,0.3855555647962681,0.5780000000000001,0.4058043875685558,0.08093835462332022,false,0
unhelpful,2,0.25,1247,5000,0.01,0.42284612643269737,0.08111711907043932,0.19762889824182953,0.6480633546235652,0.142636,0.027711602126043615,0.019201907170643892,0.06488698472411636,0.052000000000000046,0.0,3.68619383905866e-8,true,0
unhelpful,2,0.25,1247,5000,0.05,0.42284612643269737,0.08111711907043932,0.19762889824182953,0.6480633546235652,0.142636,0.03426436802413274,0.03120375389830511,0.09652343501421724,0.03516666666666668,0.0,1.1600831406610723e-11,true,0
unhelpful,2,0.25,1247,5000,0.1,0.42284612643269737,0.08111711907043932,0.19762889824182953,0.6480633546235652,0.142636,0.04730569115939813,0.03604179506475149,0.10708500380647182,0.07090666666666678,0.0,0.0,true,0
unhelpful,2,0.25,1247,5000,0.2,0.42284612643269737,0.08111711907043932,0.19762889824182953,0.6480633546235652,0.142636,0.07373626213332031,0.04161735711296715,0.13616911594989276,0.17050000000000004,0.0,0.0,true,0
clone,3,0.25,1247,5000,0.01,0.7579567717395965,0.0038635437068229254,0.7472298547260703,0.7686836887531228,0.7619779999999999,0.07334063724538421,0.05149615669920388,0.09496723664864863,0.09001466666666669,0.072,0.29247291112426943,false,0
clone,3,0.25,1247,5000,0.05,0.7579567717395965,0.0038635437068229254,0.7472298547260703,0.7686836887531228,0.7619779999999999,0.17096968988406075,0.14656613727426623,0.20453773759595867,0.26049999999999995,0.16924603174603173,0.9886493306849978,false,0
clone,3,0.25,1247,5000,0.1,0.7579567717395965,0.0038635437068229254,0.7472298547260703,0.7686836887531228,0.7619779999999999,0.24953195812907553,0.22449472486320154,0.27731952955549044,0.39499999999999996,0.2689667250437829,0.9525963690918882,false,0
clone,3,0.25,1247,5000,0.2,0.7579567717395965,0.0038635437068229254,0.7472298547260703,0.7686836887531228,0.7619779999999999,0.3696202357153806,0.3426146668734614,0.3957974285356614,0.598,0.3763565891472868,0.909585311203451,false,0
premium,3,0.25,1247,5000,0.01,0.7624824046332431,0.003916345459706814,0.7516088864513766,0.7733559228151097,0.76226,0.07403045202941853,0.055621326346882036,0.09671660201790327,0.09001466666666669,0.09015151515151514,0.4008682356804617,false,0
premium,3,0.25,1247,5000,0.05,0.7624824046332431,0.003916345459706814,0.7516088864513766,0.7733559228151097,0.76226,0.17418387625282344,0.14754439878653094,0.20060241635938636,0.26049999999999995,0.18,0.8630213985530104,false,0
premium,3,0.25,1247,5000,0.1,0.7624824046332431,0.003916345459706814,0.7516088864513766,0.7733559228151097,0.76226,0.2536708529677725,0.22863832045121463,0.27881616843357765,0.39499999999999996,0.2567366412213741,0.8813332076597437,false,0
