policy,n_eval,alpha,seed,cvar_est,t_hat,ci_lo,ci_hi,n_boot_fail,runtime_sec
clone,100000,0.005,5,0.06444800313007121,0.08066666666666666,0.04979509556837585,0.08268219941764551,0,42.41665983200073
clone,100000,0.005,6,0.05297928261037691,0.10007100000000002,0.0432311562728707,0.07574529146111054,0,43.45090699195862
clone,100000,0.005,7,0.06489018062245949,0.08066666666666666,0.04700061375502865,0.09321868561095083,0,43.06099796295166
clone,100000,0.005,8,0.06136401218467752,0.07700000000000007,0.04363835435552991,0.07966635527344897,0,43.10514712333679
clone,100000,0.005,10,0.07014867522915222,0.10166666666666657,0.0501414003255928,0.08774378380013331,0,41.453267097473145
clone,100000,0.005,11,0.06951180981561902,0.08382066666666677,0.05335485283332647,0.08939747000032626,0,42.50114297866821
clone,100000,0.005,9,0.04721669750127348,0.06799999999999995,0.034828360902277825,0.07400234060251881,0,43.0060760974884
clone,100000,0.005,13,0.0624622766190049,0.08066666666666666,0.04960751109018763,0.08298059700563613,0,42.01128816604614
clone,100000,0.005,12,0.07606130768691392,0.09273100000000001,0.06664999038538336,0.08998422500247097,0,43.63292980194092
clone,100000,0.005,14,0.045758145937145105,0.08617750000000002,0.01796439809348708,0.08876096216557326,0,42.38684701919556
clone,100000,0.005,15,0.06319695347426747,0.08066666666666666,0.041330203863129224,0.08552867102789251,0,43.006048917770386
clone,100000,0.005,17,0.06495595882518701,0.08066666666666666,0.04725507937869796,0.08296679307171928,0,41.13033199310303
clone,100000,0.005,16,0.06806901273928066,0.08433333333333337,0.052793685552375465,0.08806591322730008,0,42.38842797279358
clone,100000,0.005,18,0.05673221917852443,0.08541500000000035,0.026217607338826027,0.08360234323844044,0,42.97422409057617
clone,100000,0.005,19,0.06716885426417477,0.08748733333333325,0.05217425795928158,0.08903076589974597,0,43.05019164085388
clone,100000,0.01,0,0.06854048035570029,0.10933333333333328,0.05157076102460363,0.08981837993441406,0,41.906428813934326
clone,100000,0.01,1,0.08370650956917325,0.10933333333333328,0.0657860370121803,0.10601882474335124,0,43.776784896850586
clone,100000,0.01,2,0.05187866642642034,0.08799999999999997,0.03514298243156701,0.07251040984421324,0,42.5696120262146
clone,100000,0.01,3,0.08205889607358591,0.11854633333333342,0.07183888985708312,0.10739263490712903,0,42.44637322425842
clone,100000,0.01,4,0.0843480257865325,0.09966666666666668,0.06830720115519263,0.09945409198937796,0,42.01507210731506
clone,100000,0.01,5,0.076596517152319,0.11316666666666675,0.06395648109906218,0.10036910400936712,0,42.40318202972412
clone,100000,0.01,7,0.08460234966990987,0.11547533333333326,0.07007020351413422,0.1129598762602252,0,42.48865795135498
clone,100000,0.01,6,0.07136353248718133,0.10933333333333328,0.059251490647026325,0.08869131628702852,0,43.01643085479736
clone,100000,0.01,8,0.07640932907296791,0.10933333333333328,0.06119365153822946,0.09749757064730989,0,42.938799142837524
clone,100000,0.01,10,0.08771763320039867,0.1361600000000004,0.07421808028282856,0.11394555638201498,0,40.763286113739014
clone,100000,0.01,9,0.06949011442771022,0.09699999999999998,0.055834547212476424,0.08703188631400831,0,43.07482409477234
clone,100000,0.01,11,0.08401927706029155,0.09648733333333337,0.069631942065008,0.10444368628012102,0,42.248356103897095
clone,100000,0.01,13,0.07611346889737453,0.10933333333333328,0.06700288392204831,0.09221560007641326,0,41.93949103355408
clone,100000,0.01,12,0.0877569076192674,0.10699999999999998,0.07951616665627001,0.10396441662836069,0,43.06796216964722
clone,100000,0.01,14,0.07409493711111571,0.138,0.051261450297016606,0.11894851013385435,0,42.75348520278931
clone,100000,0.01,15,0.07472282227841427,0.08697466666666664,0.06044414700863317,0.09427456647113372,0,43.171353816986084
clone,100000,0.01,17,0.0764016917659036,0.11930866666666673,0.06271398212438306,0.10733266975270798,0,41.473254919052124
clone,100000,0.01,16,0.08281427284444215,0.12237966666666655,0.06907809589661842,0.11119156990485808,0,42.65851187705994
clone,100000,0.01,18,0.07660751815178204,0.09746200000000005,0.05471749700673275,0.09802594131802499,0,43.2365038394928
clone,100000,0.01,19,0.08258094046858273,0.10066666666666668,0.06928421669451035,0.1059946428146296,0,43.15151000022888
